class	rust_ref	go_symbol	status	note
live-direct	DirectTransaction::set_metadata_json	LiveDirectTransaction.SetMetadataJSON	present	name variant
live-direct	DirectTransaction::clear_metadata_json	LiveDirectTransaction.ClearMetadataJSON	present	name variant
live-direct	DirectTransaction::commit	LiveDirectTransaction.Commit	present	live_writer_public.go; live-bound commit with the captured cancellation
live-direct	DirectTransaction::abort	LiveDirectTransaction.Abort	present	live_writer_public.go; live-bound abort
reader	ImmutableReader::open	OpenImmutable	present	reader_public.go:114
reader	ImmutableReader::info	ImmutableReader.Info	present	reader_public.go
reader	ImmutableReader::lookup_direct_v4	ImmutableReader.LookupDirectV4	present	name variant
reader	ImmutableReader::lookup_direct_v6	ImmutableReader.LookupDirectV6	present	name variant
reader	ImmutableReader::lookup_membership_v4	Pin.LookupMembershipV4	present	owner variant: Go membership lookup binds a Pin first
reader	ImmutableReader::lookup_membership_v6	Pin.LookupMembershipV6	present	owner variant
reader	ImmutableReader::metadata_json	ImmutableReader.MetadataJSON	present	name variant
live-reader	LiveReader::open	OpenLiveReader	present	live_reader_public.go
live-reader	LiveReader::metadata_json	LiveReader.MetadataJSON	present	name variant
reader	ImmutableReader::read_metadata_json	ImmutableReader.ReadMetadataJSON	present	reader_public.go caller-buffer metadata read (Rust database.rs read_metadata_json); reads into caller storage after the buffer-too-small refusal
reader	ImmutableReader::metadata_json_len	ImmutableReader.MetadataJSONLen	present	reader_public.go exact metadata length without walking the chain (Rust database.rs metadata_json_len)
reader	LiveReader::read_metadata_json	LiveReader.ReadMetadataJSON	present	live_reader_public.go caller-buffer metadata read over the pinned generation (Rust live_reader.rs read_metadata_json)
reader	LiveReader::metadata_json_len	LiveReader.MetadataJSONLen	present	live_reader_public.go exact metadata length over the pinned generation (Rust live_reader.rs metadata_json_len)
live-reader	LiveReader::lookup_membership_v4	Pin.LookupMembershipV4	present	owner variant (pin on live reader)
live-reader	LiveReader::lookup_membership_v6	Pin.LookupMembershipV6	present	owner variant
cancellation	CancellationToken::new	NewCancellationToken	present	name variant
cancellation	CancellationToken::cancel	CancellationToken.Cancel	present	
cancellation	CancellationToken::is_cancelled	CancellationToken.IsCancelled	present	
cancellation	CancellationToken::from_poll		missing	Rust async poll integration not ported; Go nil token is the uncancellable form
join	membership_query/join.rs DirectJoinSource::Live	DirectJoinSourceLive	present	join_public.go; DirectJoinSource union with DirectJoinSourceImmutable/DirectJoinSourceLive; JoinDirect resolves the variant core with its open proof (Rust Source::new)
publication	publication.rs list_windows_housekeeping	ListWindowsHousekeeping	present	windows_housekeeping_public.go; exact GC candidate stream with the exported error class on other platforms
publication	publication.rs remove_windows_housekeeping	RemoveWindowsHousekeeping	present	windows_housekeeping_public.go; identity-bound removal with the exported payload evidence
publication	publication.rs list_abandoned_publication_temps	ListAbandonedPublicationTemps	present	publication_public.go
publication	publication.rs remove_abandoned_publication_temp	RemoveAbandonedPublicationTemp	present	publication_public.go
publication	publication.rs list_abandoned_reservation_artifacts	ListAbandonedReservationArtifacts	present	publication_public.go
publication	publication.rs remove_abandoned_reservation_artifact	RemoveAbandonedReservationArtifact	present	publication_public.go
publication	scratch_maintenance list_abandoned_scratch	ListAbandonedScratch	present	scratch_maintenance_public.go
publication	scratch_maintenance remove_abandoned_scratch	RemoveAbandonedScratch	present	scratch_maintenance_public.go
publication	scratch_maintenance remove_checkpointed_scratch		missing	Internal machine exists (internal/recovery RemoveCheckpointedScratch); the public export is absent
snapshot	snapshot.rs snapshot_to	SnapshotTo	present	snapshot_public.go:101
validation	validation.rs validate	Validate	present	validation_public.go
recovery	recovery.rs inspect_recovery_candidates	InspectRecoveryCandidates	present	recovery_public.go
recovery	recovery.rs recover_immutable	RecoverImmutable	present	recovery_public.go
recovery	recovery.rs recover_offline	RecoverOffline	present	recovery_public.go
recovery	recovery.rs recover_live	RecoverLive	present	recovery_public.go
worker	binary-format-v4.md:3155+ version-matched worker		missing	Implemented (m5 slice E + regression 2026-08-29): the routed facade (internal/routing/routing_worker.go) calls the version-matched worker on every worker cross-build platform (linux/darwin/freebsd/windows x amd64/arm64) with no silent in-process fallback; platforms without a worker build refuse with ErrorOSUnsupported before any scan (routing_other.go fail-closed, binary-format-v4.md section 19). Internal mechanism, no root symbol; the public Validate/Recover* rows are present.
platform	publication/security/apple.rs filesec creator-only		missing	Darwin raw-syscall machine implemented (internal/security acl_darwin.go: fchmod_extended/fstat_extended) and proven in the authorized macOS arm64 round (plain, v4work, race+checkptr green at 631d83c8); no root symbol (internal machine, like remove_checkpointed_scratch)
cards	lib-reexport Cardinality129	Cardinality129	present	Go exports the exact 129-bit counter as an alias of the internal/format type; the method rows below record the arithmetic surface
go-surface	-	AlgebraFeedSelectionAll	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	AlgebraFeedSelectionNamed	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	AlgebraOutputModeFlat	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	AlgebraOutputModePreserveFeeds	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	AlgebraPreparationFailure.Error	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	AlgebraSetExclusion	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	AlgebraSetIntersection	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	AlgebraSetUnion	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	CardinalityFromUint128	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	CardinalityFromUint64	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	CardinalityZero	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	DefaultBudget	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	DirectJoinSourceImmutable	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	Error.Error	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	FeedName::as_str	FeedName.String	present	Go string value String is Rust FeedName::as_str (feed_name.go)
go-surface	-	FinishedHistoryProjection.IsChanged	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	FinishedWorkflow.IsChanged	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	FullIPv6Space	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	HeapOnly	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	Cardinality129::ipv4_inclusive	IPv4Inclusive	present	Go free function IPv4Inclusive is the Rust inclusive IPv4 interval count (types.go)
go-surface	-	IPv6FromHalves	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	Cardinality129::ipv6_inclusive	IPv6Inclusive	present	Go free function IPv6Inclusive is the Rust inclusive IPv6 interval count (types.go)
surface	ImmutableReader::direct_range_source_v4	ImmutableReader.DirectRangesV4	present	Go streams the Rust direct-range source through this method
surface	ImmutableReader::direct_range_source_v6	ImmutableReader.DirectRangesV6	present	Go streams the Rust direct-range source through this method
surface	ImmutableReader::network_enrichment_v1_cursor_v4	ImmutableReader.NetworkEnrichmentV1CursorV4	present	Go names the enrichment cursor method NetworkEnrichmentV1CursorV4
surface	ImmutableReader::network_enrichment_v1_cursor_v6	ImmutableReader.NetworkEnrichmentV1CursorV6	present	Go names the enrichment cursor method NetworkEnrichmentV1CursorV6
go-surface	-	ImmutableReader.Pin	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	PublicationResidueRemoval::inspect_publication_residue	InspectPublicationResidue	present	publication residue inspection (publication_public.go)
surface	LiveReader::direct_range_source_v4	LiveReader.DirectRangesV4	present	Go streams the Rust direct-range source through this method
surface	LiveReader::direct_range_source_v6	LiveReader.DirectRangesV6	present	Go streams the Rust direct-range source through this method
surface	LiveReader::network_enrichment_v1_cursor_v4	LiveReader.NetworkEnrichmentV1CursorV4	present	Go names the enrichment cursor method NetworkEnrichmentV1CursorV4
surface	LiveReader::network_enrichment_v1_cursor_v6	LiveReader.NetworkEnrichmentV1CursorV6	present	Go names the enrichment cursor method NetworkEnrichmentV1CursorV6
go-surface	-	LiveReader.Pin	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	MembershipAggregationAllPairs	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	MembershipAggregationCardinalities	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	MembershipAggregationSelectedPairs	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	MembershipAggregationTargetAgainstScope	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	MembershipImportSourceImmutable	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	MembershipImportSourceLive	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	NewCardinality129	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	FeedName::new	NewFeedName	present	validated feed-name constructor (feed_name.go)
surface	MembershipAlgebra::new	NewMembershipAlgebra	present	scope-algebra constructor (membership_algebra_public.go)
surface	ValueTag::new	NewValueTag	present	canonical value-tag constructor (types.go)
go-surface	-	Pin.LookupFeedInto	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	Pin.LookupNetworkEnrichmentV1V4	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	Pin.LookupNetworkEnrichmentV1V6	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	RecoveryHeapOnly	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	PublicationResidueRemoval::remove_publication_residue	RemovePublicationResidue	present	publication residue removal (publication_public.go)
go-surface	-	ResetLiveCoordination	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	ResolveCreateLive	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	ResolveInterruptedLiveTransition	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	ResolveLiveTransition	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	ResolvePublication	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	SnapshotPreparationFailure.Error	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	ValidateOfflineCandidate	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	ValueTagFirstSeen	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
go-surface	-	ValueTagLastSeen	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method abort	FinishedHistoryProjection.Abort	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method abort	FinishedWorkflow.Abort	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method abort	MembershipTransaction.Abort	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method abort	PreparedFeedChange.Abort	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method abort	StructuredTransaction.Abort	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method add_feed	MembershipTransaction.AddFeed	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method add_feed	StructuredTransaction.AddFeed	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method add_ranges_v4	CreateFeed.AddRangesV4	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method add_ranges_v4	DirectReplacement.AddRangesV4	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method add_ranges_v4	FirstSeenRefresh.AddRangesV4	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method add_ranges_v4	LastSeenRefresh.AddRangesV4	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method add_ranges_v4	ReplaceFeed.AddRangesV4	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method add_ranges_v6	CreateFeed.AddRangesV6	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method add_ranges_v6	DirectReplacement.AddRangesV6	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method add_ranges_v6	FirstSeenRefresh.AddRangesV6	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method add_ranges_v6	LastSeenRefresh.AddRangesV6	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method add_ranges_v6	ReplaceFeed.AddRangesV6	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method address_family	MembershipAlgebra.AddressFamily	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method aggregate	MembershipScope.Aggregate	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method all_feeds	MembershipQuery.AllFeeds	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method apply_v4	MembershipTransaction.ApplyV4	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method apply_v6	MembershipTransaction.ApplyV6	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method assign_v4	StructuredTransaction.AssignV4	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method assign_v6	StructuredTransaction.AssignV6	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method bytes	LocalBasename.Bytes	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method bytes	ValueTag.Bytes	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method cardinality	ImmutableReader.Cardinality	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method cardinality	LiveReader.Cardinality	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method cleanup_state	AlgebraSetResult.CleanupState	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method cleanup_state	CommitResolutionResult.CleanupState	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method cleanup_state	CommitResult.CleanupState	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method cleanup_state	LiveAbortResult.CleanupState	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method cleanup_state	LiveCloseResult.CleanupState	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method cleanup_state	LiveCommitCleanupArtifacts.CleanupState	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method cleanup_state	ReaderCloseResult.CleanupState	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method cleanup_state	SnapshotResult.CleanupState	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method clear_metadata_json	FinishedHistoryProjection.ClearMetadataJSON	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method clear_metadata_json	FinishedWorkflow.ClearMetadataJSON	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method clear_metadata_json	MembershipTransaction.ClearMetadataJSON	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method clear_metadata_json	PreparedFeedChange.ClearMetadataJSON	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method clear_metadata_json	StructuredTransaction.ClearMetadataJSON	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method clear_v4	StructuredTransaction.ClearV4	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method clear_v6	StructuredTransaction.ClearV6	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method close	ImmutableReader.Close	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method close	LiveReader.Close	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method close	NetworkEnrichmentV1CursorV4.Close	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method close	NetworkEnrichmentV1CursorV6.Close	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method close	Pin.Close	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method commit	FinishedHistoryProjection.Commit	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method commit	FinishedWorkflow.Commit	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method commit	MembershipTransaction.Commit	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method commit	PreparedFeedChange.Commit	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method commit	StructuredTransaction.Commit	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method compare	MembershipAlgebra.Compare	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method contains_index	MembershipView.ContainsIndex	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method count	MembershipAlgebra.Count	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method delete_feed	MembershipTransaction.DeleteFeed	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method delete_feed	StructuredTransaction.DeleteFeed	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method direct_cursor_v4	ImmutableReader.DirectCursorV4	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method direct_cursor_v4	LiveReader.DirectCursorV4	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method direct_cursor_v6	ImmutableReader.DirectCursorV6	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method direct_cursor_v6	LiveReader.DirectCursorV6	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method direct_semantic	DatabaseInfo.DirectSemantic	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method empty	LiveCommitCleanupArtifacts.Empty	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method empty_membership	MembershipTransaction.EmptyMembership	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method empty_membership	StructuredTransaction.EmptyMembership	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method encoding	LocalBasename.Encoding	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method ensure_feed	MembershipTransaction.EnsureFeed	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method ensure_feed	StructuredTransaction.EnsureFeed	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method entry	LiveCommitCleanupArtifacts.Entry	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method feed_count	MembershipAlgebra.FeedCount	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method feed_count	MembershipScope.FeedCount	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method feed_cursor	ImmutableReader.FeedCursor	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method feed_cursor	LiveReader.FeedCursor	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method feed_cursor	MembershipTransaction.FeedCursor	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method feed_cursor	StructuredTransaction.FeedCursor	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method feed_range_cursor_v4	ImmutableReader.FeedRangeCursorV4	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method feed_range_cursor_v4	LiveReader.FeedRangeCursorV4	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method feed_range_cursor_v6	ImmutableReader.FeedRangeCursorV6	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method feed_range_cursor_v6	LiveReader.FeedRangeCursorV6	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method feeds	MembershipAlgebra.Feeds	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method feeds	MembershipScope.Feeds	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method file_identity	ImmutableReader.FileIdentity	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method file_identity	LiveReader.FileIdentity	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method finish_input	CreateFeed.FinishInput	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method finish_input	DirectReplacement.FinishInput	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
surface	same-name Rust method finish_input	FirstSeenRefresh.FinishInput	present	generated surface row; go-surface extras are Go SDK conveniences without a Rust counterpart
